               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.047666,             0.48996,                   0,             0.90699,             0.81102,             0.87273,             0.53133,            0.046091,             0.43257,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.047343,             0.49363,                   0,             0.90976,              0.8126,             0.87582,             0.53366,            0.046069,             0.43236,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.047776,              0.4994,                   0,             0.91424,             0.80563,             0.87291,             0.53087,            0.046095,             0.43335,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.04721,             0.48948,                   0,             0.91099,             0.80929,             0.87384,             0.53234,             0.04607,             0.43182,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.047804,             0.50955,                   0,             0.91006,             0.81373,             0.87577,             0.53401,            0.046065,             0.43214,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.047341,               0.493,                   0,             0.90862,             0.81174,             0.87557,             0.53388,             0.04603,             0.43191,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.047853,             0.50691,                   0,             0.90997,             0.81398,             0.87609,             0.53464,            0.045957,             0.43256,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.048078,             0.49716,                   0,             0.90655,             0.81718,             0.87771,             0.53523,            0.045921,             0.43227,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.047327,             0.49426,                   0,             0.90706,             0.81625,             0.87595,             0.53437,            0.045955,             0.43143,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.047129,             0.49402,                   0,             0.91416,             0.81227,             0.87692,             0.53626,            0.045866,             0.43182,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.04739,              0.4858,                   0,             0.90975,             0.81465,             0.87549,             0.53408,            0.045922,             0.43156,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.046915,             0.48885,                   0,             0.90666,             0.81658,             0.87814,             0.53493,            0.045959,             0.43249,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.047174,             0.49835,                   0,             0.90673,             0.81854,             0.87728,             0.53532,            0.045911,             0.43155,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.047023,             0.49119,                   0,             0.90727,             0.81836,             0.87794,             0.53519,            0.045867,              0.4326,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.04667,              0.4846,                   0,             0.90907,             0.81269,             0.87602,             0.53517,            0.045938,             0.43215,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.046443,             0.48442,                   0,             0.90724,             0.81582,             0.87609,             0.53501,            0.045913,              0.4328,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.047123,             0.50229,                   0,             0.91173,              0.8144,             0.87734,             0.53494,            0.045843,             0.43126,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.047198,             0.50621,                   0,             0.90559,             0.81967,             0.87777,             0.53627,            0.045813,             0.43161,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.046225,             0.48516,                   0,             0.90717,             0.81838,              0.8783,             0.53653,            0.045839,              0.4319,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.047214,               0.494,                   0,             0.90966,             0.81629,             0.87823,             0.53675,            0.045822,             0.43158,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.047154,             0.49146,                   0,             0.90814,             0.81728,             0.87773,             0.53655,            0.045817,             0.43188,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.046614,              0.4839,                   0,             0.90822,             0.81693,             0.87759,             0.53631,            0.045819,             0.43223,                   0,            0.000298,            0.000298,            0.000298
